Fall Tiglax 2011,,,,,,,
Chlorophyll Samples,,,,,,,
Strom,,,,,,,
Depth_m,Size_Fraction,Chl-a_ug/L,phaeo_µg/L,Integrated_0_50m_Chl_mg/m^2,CTD_Cast,Station_Name,Date
0,<20 µm,0.84,0.37,10.75,6,KIP2,9/15/2011
10,<20 µm,0.39,0.2,10.75,6,KIP2,9/15/2011
20,<20 µm,0.13,0.1,10.75,6,KIP2,9/15/2011
30,<20 µm,0.06,0.06,10.75,6,KIP2,9/15/2011
40,<20 µm,0.05,0.06,10.75,6,KIP2,9/15/2011
50,<20 µm,0.04,0.06,10.75,6,KIP2,9/15/2011
0,>20 µm,0.06,0.02,1.05,6,KIP2,9/15/2011
10,>20 µm,0.03,0.01,1.05,6,KIP2,9/15/2011
20,>20 µm,0.02,0.01,1.05,6,KIP2,9/15/2011
30,>20 µm,0.01,0.01,1.05,6,KIP2,9/15/2011
40,>20 µm,0.01,0.01,1.05,6,KIP2,9/15/2011
50,>20 µm,0.01,0.02,1.05,6,KIP2,9/15/2011
0,Total,0.9,0.39,11.81,6,KIP2,9/15/2011
10,Total,0.42,0.21,11.81,6,KIP2,9/15/2011
20,Total,0.15,0.12,11.81,6,KIP2,9/15/2011
30,Total,0.08,0.08,11.81,6,KIP2,9/15/2011
40,Total,0.06,0.07,11.81,6,KIP2,9/15/2011
50,Total,0.04,0.07,11.81,6,KIP2,9/15/2011
0,<20 µm,0.8,0.3,9.48,7,PWS1,9/15/2011
10,<20 µm,0.26,0.15,9.48,7,PWS1,9/15/2011
20,<20 µm,0.13,0.08,9.48,7,PWS1,9/15/2011
30,<20 µm,0.09,0.06,9.48,7,PWS1,9/15/2011
40,<20 µm,0.05,0.05,9.48,7,PWS1,9/15/2011
50,<20 µm,0.03,0.04,9.48,7,PWS1,9/15/2011
0,>20 µm,0.03,0.01,1.26,7,PWS1,9/15/2011
10,>20 µm,0.04,0.02,1.26,7,PWS1,9/15/2011
20,>20 µm,0.02,0.01,1.26,7,PWS1,9/15/2011
30,>20 µm,0.03,0.01,1.26,7,PWS1,9/15/2011
40,>20 µm,0.02,0.01,1.26,7,PWS1,9/15/2011
50,>20 µm,0.01,0.01,1.26,7,PWS1,9/15/2011
0,Total,0.83,0.31,10.73,7,PWS1,9/15/2011
10,Total,0.3,0.16,10.73,7,PWS1,9/15/2011
20,Total,0.16,0.09,10.73,7,PWS1,9/15/2011
30,Total,0.11,0.07,10.73,7,PWS1,9/15/2011
40,Total,0.07,0.06,10.73,7,PWS1,9/15/2011
50,Total,0.04,0.05,10.73,7,PWS1,9/15/2011
0,<20 µm,0.89,0.33,15.61,8,PWS2,9/15/2011
10,<20 µm,0.64,0.34,15.61,8,PWS2,9/15/2011
20,<20 µm,0.26,0.11,15.61,8,PWS2,9/15/2011
30,<20 µm,0.11,0.05,15.61,8,PWS2,9/15/2011
40,<20 µm,0.07,0.04,15.61,8,PWS2,9/15/2011
50,<20 µm,0.07,0.03,15.61,8,PWS2,9/15/2011
0,>20 µm,0.04,0.02,1.71,8,PWS2,9/15/2011
10,>20 µm,0.05,0.02,1.71,8,PWS2,9/15/2011
20,>20 µm,0.05,0.02,1.71,8,PWS2,9/15/2011
30,>20 µm,0.03,0.01,1.71,8,PWS2,9/15/2011
40,>20 µm,0.02,0.01,1.71,8,PWS2,9/15/2011
50,>20 µm,0.01,0.01,1.71,8,PWS2,9/15/2011
0,Total,0.94,0.35,17.32,8,PWS2,9/15/2011
10,Total,0.69,0.36,17.32,8,PWS2,9/15/2011
20,Total,0.31,0.12,17.32,8,PWS2,9/15/2011
30,Total,0.14,0.06,17.32,8,PWS2,9/15/2011
40,Total,0.09,0.05,17.32,8,PWS2,9/15/2011
50,Total,0.08,0.04,17.32,8,PWS2,9/15/2011
0,<20 µm,1.05,0.15,28.39,11,GAK10,9/16/2011
10,<20 µm,0.97,0.25,28.39,11,GAK10,9/16/2011
20,<20 µm,0.75,0.23,28.39,11,GAK10,9/16/2011
30,<20 µm,0.36,0.11,28.39,11,GAK10,9/16/2011
40,<20 µm,0.17,0.09,28.39,11,GAK10,9/16/2011
50,<20 µm,0.14,0.06,28.39,11,GAK10,9/16/2011
0,>20 µm,0.04,0.02,1.59,11,GAK10,9/16/2011
10,>20 µm,0.04,0.02,1.59,11,GAK10,9/16/2011
20,>20 µm,0.04,0.02,1.59,11,GAK10,9/16/2011
30,>20 µm,0.03,0.02,1.59,11,GAK10,9/16/2011
40,>20 µm,0.03,0.02,1.59,11,GAK10,9/16/2011
50,>20 µm,0.01,0.01,1.59,11,GAK10,9/16/2011
0,Total,1.09,0.17,29.98,11,GAK10,9/16/2011
10,Total,1.01,0.27,29.98,11,GAK10,9/16/2011
20,Total,0.79,0.26,29.98,11,GAK10,9/16/2011
30,Total,0.39,0.13,29.98,11,GAK10,9/16/2011
40,Total,0.2,0.11,29.98,11,GAK10,9/16/2011
50,Total,0.16,0.08,29.98,11,GAK10,9/16/2011
0,<20 µm,0.82,0.2,20.28,10,GAK9,9/16/2011
10,<20 µm,0.85,0.18,20.28,10,GAK9,9/16/2011
20,<20 µm,0.42,0.14,20.28,10,GAK9,9/16/2011
30,<20 µm,0.15,0.07,20.28,10,GAK9,9/16/2011
40,<20 µm,0.14,0.07,20.28,10,GAK9,9/16/2011
50,<20 µm,0.12,0.06,20.28,10,GAK9,9/16/2011
0,>20 µm,0.05,0.02,1.84,10,GAK9,9/16/2011
10,>20 µm,0.05,0.02,1.84,10,GAK9,9/16/2011
20,>20 µm,0.04,0.02,1.84,10,GAK9,9/16/2011
30,>20 µm,0.03,0.01,1.84,10,GAK9,9/16/2011
40,>20 µm,0.03,0.02,1.84,10,GAK9,9/16/2011
50,>20 µm,0.03,0.02,1.84,10,GAK9,9/16/2011
0,Total,0.87,0.22,22.12,10,GAK9,9/16/2011
10,Total,0.9,0.2,22.12,10,GAK9,9/16/2011
20,Total,0.46,0.16,22.12,10,GAK9,9/16/2011
30,Total,0.18,0.09,22.12,10,GAK9,9/16/2011
40,Total,0.16,0.08,22.12,10,GAK9,9/16/2011
50,Total,0.14,0.07,22.12,10,GAK9,9/16/2011
0,<20 µm,0.55,0.14,15.06,14,GAK2,9/17/2011
10,<20 µm,0.29,0.11,15.06,14,GAK2,9/17/2011
20,<20 µm,0.23,0.12,15.06,14,GAK2,9/17/2011
30,<20 µm,0.37,0.15,15.06,14,GAK2,9/17/2011
40,<20 µm,0.28,0.14,15.06,14,GAK2,9/17/2011
50,<20 µm,0.11,0.09,15.06,14,GAK2,9/17/2011
0,>20 µm,0.14,0.02,5.26,14,GAK2,9/17/2011
10,>20 µm,0.04,0.03,5.26,14,GAK2,9/17/2011
20,>20 µm,0.07,0.03,5.26,14,GAK2,9/17/2011
30,>20 µm,0.13,0.06,5.26,14,GAK2,9/17/2011
40,>20 µm,0.19,0.08,5.26,14,GAK2,9/17/2011
50,>20 µm,0.04,0.04,5.26,14,GAK2,9/17/2011
0,Total,0.69,0.16,20.32,14,GAK2,9/17/2011
10,Total,0.33,0.14,20.32,14,GAK2,9/17/2011
20,Total,0.3,0.16,20.32,14,GAK2,9/17/2011
30,Total,0.51,0.21,20.32,14,GAK2,9/17/2011
40,Total,0.47,0.22,20.32,14,GAK2,9/17/2011
50,Total,0.16,0.13,20.32,14,GAK2,9/17/2011
0,<20 µm,0.79,0.21,11.67,13,GAK1,9/17/2011
10,<20 µm,0.22,0.12,11.67,13,GAK1,9/17/2011
20,<20 µm,0.1,0.06,11.67,13,GAK1,9/17/2011
30,<20 µm,0.2,0.08,11.67,13,GAK1,9/17/2011
40,<20 µm,0.2,0.1,11.67,13,GAK1,9/17/2011
50,<20 µm,0.11,0.07,11.67,13,GAK1,9/17/2011
0,>20 µm,0.15,0.04,4.29,13,GAK1,9/17/2011
10,>20 µm,0.05,0.05,4.29,13,GAK1,9/17/2011
20,>20 µm,0.03,0.03,4.29,13,GAK1,9/17/2011
30,>20 µm,0.12,0.03,4.29,13,GAK1,9/17/2011
40,>20 µm,0.12,0.06,4.29,13,GAK1,9/17/2011
50,>20 µm,0.05,0.04,4.29,13,GAK1,9/17/2011
0,Total,0.93,0.25,15.95,13,GAK1,9/17/2011
10,Total,0.27,0.17,15.95,13,GAK1,9/17/2011
20,Total,0.13,0.09,15.95,13,GAK1,9/17/2011
30,Total,0.32,0.11,15.95,13,GAK1,9/17/2011
40,Total,0.33,0.16,15.95,13,GAK1,9/17/2011
50,Total,0.16,0.1,15.95,13,GAK1,9/17/2011
0,<20 µm,0.56,0.2,15.56,15,GAK3,9/17/2011
10,<20 µm,0.43,0.22,15.56,15,GAK3,9/17/2011
20,<20 µm,0.15,0.1,15.56,15,GAK3,9/17/2011
30,<20 µm,0.26,0.17,15.56,15,GAK3,9/17/2011
40,<20 µm,0.26,0.19,15.56,15,GAK3,9/17/2011
50,<20 µm,0.36,0.22,15.56,15,GAK3,9/17/2011
0,>20 µm,0.11,0.04,3.99,15,GAK3,9/17/2011
10,>20 µm,0.09,0.04,3.99,15,GAK3,9/17/2011
20,>20 µm,0.07,0.06,3.99,15,GAK3,9/17/2011
30,>20 µm,0.1,0.09,3.99,15,GAK3,9/17/2011
40,>20 µm,0.06,0.08,3.99,15,GAK3,9/17/2011
50,>20 µm,0.05,0.07,3.99,15,GAK3,9/17/2011
0,Total,0.66,0.24,19.55,15,GAK3,9/17/2011
10,Total,0.52,0.26,19.55,15,GAK3,9/17/2011
20,Total,0.22,0.16,19.55,15,GAK3,9/17/2011
30,Total,0.36,0.26,19.55,15,GAK3,9/17/2011
40,Total,0.32,0.26,19.55,15,GAK3,9/17/2011
50,Total,0.41,0.29,19.55,15,GAK3,9/17/2011
0,<20 µm,0.37,0.12,18.75,17,GAK4,9/17/2011
10,<20 µm,0.54,0.21,18.75,17,GAK4,9/17/2011
20,<20 µm,0.51,0.18,18.75,17,GAK4,9/17/2011
30,<20 µm,0.35,0.14,18.75,17,GAK4,9/17/2011
40,<20 µm,0.21,0.13,18.75,17,GAK4,9/17/2011
50,<20 µm,0.15,0.1,18.75,17,GAK4,9/17/2011
0,>20 µm,0.07,0.03,3.05,17,GAK4,9/17/2011
10,>20 µm,0.09,0.04,3.05,17,GAK4,9/17/2011
20,>20 µm,0.08,0.06,3.05,17,GAK4,9/17/2011
30,>20 µm,0.06,0.07,3.05,17,GAK4,9/17/2011
40,>20 µm,0.03,0.04,3.05,17,GAK4,9/17/2011
50,>20 µm,0.03,0.04,3.05,17,GAK4,9/17/2011
0,Total,0.44,0.15,21.8,17,GAK4,9/17/2011
10,Total,0.63,0.25,21.8,17,GAK4,9/17/2011
20,Total,0.59,0.25,21.8,17,GAK4,9/17/2011
30,Total,0.41,0.21,21.8,17,GAK4,9/17/2011
40,Total,0.25,0.18,21.8,17,GAK4,9/17/2011
50,Total,0.17,0.14,21.8,17,GAK4,9/17/2011
0,<20 µm,1.4,0.26,46.76,18,GAK5,9/17/2011
10,<20 µm,1.35,0.31,46.76,18,GAK5,9/17/2011
20,<20 µm,1.21,0.22,46.76,18,GAK5,9/17/2011
30,<20 µm,0.81,0.26,46.76,18,GAK5,9/17/2011
40,<20 µm,0.52,0.21,46.76,18,GAK5,9/17/2011
50,<20 µm,0.17,0.1,46.76,18,GAK5,9/17/2011
0,>20 µm,0.08,0.05,4.2,18,GAK5,9/17/2011
10,>20 µm,0.12,0.06,4.2,18,GAK5,9/17/2011
20,>20 µm,0.11,0.1,4.2,18,GAK5,9/17/2011
30,>20 µm,0.09,0.08,4.2,18,GAK5,9/17/2011
40,>20 µm,0.06,0.07,4.2,18,GAK5,9/17/2011
50,>20 µm,0.02,0.02,4.2,18,GAK5,9/17/2011
0,Total,1.49,0.31,50.95,18,GAK5,9/17/2011
10,Total,1.47,0.36,50.95,18,GAK5,9/17/2011
20,Total,1.32,0.32,50.95,18,GAK5,9/17/2011
30,Total,0.9,0.35,50.95,18,GAK5,9/17/2011
40,Total,0.58,0.28,50.95,18,GAK5,9/17/2011
50,Total,0.19,0.12,50.95,18,GAK5,9/17/2011
0,<20 µm,1.08,0.27,22.65,19,GAK6,9/17/2011
10,<20 µm,1.04,0.26,22.65,19,GAK6,9/17/2011
20,<20 µm,0.55,0.23,22.65,19,GAK6,9/17/2011
30,<20 µm,0.07,0.06,22.65,19,GAK6,9/17/2011
40,<20 µm,0.04,0.04,22.65,19,GAK6,9/17/2011
50,<20 µm,0.04,0.05,22.65,19,GAK6,9/17/2011
0,>20 µm,0.09,0.03,1.69,19,GAK6,9/17/2011
10,>20 µm,0.07,0.05,1.69,19,GAK6,9/17/2011
20,>20 µm,0.04,0.04,1.69,19,GAK6,9/17/2011
30,>20 µm,0.01,0.01,1.69,19,GAK6,9/17/2011
40,>20 µm,0,0.01,1.69,19,GAK6,9/17/2011
50,>20 µm,0,0.01,1.69,19,GAK6,9/17/2011
0,Total,1.17,0.3,24.34,19,GAK6,9/17/2011
10,Total,1.11,0.32,24.34,19,GAK6,9/17/2011
20,Total,0.6,0.27,24.34,19,GAK6,9/17/2011
30,Total,0.08,0.07,24.34,19,GAK6,9/17/2011
40,Total,0.05,0.05,24.34,19,GAK6,9/17/2011
50,Total,0.04,0.05,24.34,19,GAK6,9/17/2011
0,<20 µm,0.92,0.14,30.61,20,GAK7,9/17/2011
10,<20 µm,0.98,0.29,30.61,20,GAK7,9/17/2011
20,<20 µm,0.38,0.17,30.61,20,GAK7,9/17/2011
30,<20 µm,1,0.19,30.61,20,GAK7,9/17/2011
40,<20 µm,0.21,0.08,30.61,20,GAK7,9/17/2011
50,<20 µm,0.07,0.05,30.61,20,GAK7,9/17/2011
0,>20 µm,0.05,0.02,2.1,20,GAK7,9/17/2011
10,>20 µm,0.07,0.06,2.1,20,GAK7,9/17/2011
20,>20 µm,0.06,0.08,2.1,20,GAK7,9/17/2011
30,>20 µm,0.04,0.05,2.1,20,GAK7,9/17/2011
40,>20 µm,0.02,0.02,2.1,20,GAK7,9/17/2011
50,>20 µm,0.01,0.01,2.1,20,GAK7,9/17/2011
0,Total,0.96,0.17,32.71,20,GAK7,9/17/2011
10,Total,1.05,0.35,32.71,20,GAK7,9/17/2011
20,Total,0.44,0.26,32.71,20,GAK7,9/17/2011
30,Total,1.04,0.24,32.71,20,GAK7,9/17/2011
40,Total,0.23,0.11,32.71,20,GAK7,9/17/2011
50,Total,0.08,0.06,32.71,20,GAK7,9/17/2011
0,<20 µm,0.47,0.13,16.21,21,GAK13,9/18/2011
10,<20 µm,0.49,0.12,16.21,21,GAK13,9/18/2011
20,<20 µm,0.41,0.12,16.21,21,GAK13,9/18/2011
30,<20 µm,0.27,0.1,16.21,21,GAK13,9/18/2011
40,<20 µm,0.15,0.05,16.21,21,GAK13,9/18/2011
50,<20 µm,0.12,0.07,16.21,21,GAK13,9/18/2011
0,>20 µm,0.08,0.01,2.75,21,GAK13,9/18/2011
10,>20 µm,0.07,0.01,2.75,21,GAK13,9/18/2011
20,>20 µm,0.09,0.01,2.75,21,GAK13,9/18/2011
30,>20 µm,0.06,0.01,2.75,21,GAK13,9/18/2011
40,>20 µm,0.02,0.01,2.75,21,GAK13,9/18/2011
50,>20 µm,0.01,0.01,2.75,21,GAK13,9/18/2011
0,Total,0.55,0.13,18.95,21,GAK13,9/18/2011
10,Total,0.56,0.13,18.95,21,GAK13,9/18/2011
20,Total,0.5,0.13,18.95,21,GAK13,9/18/2011
30,Total,0.33,0.11,18.95,21,GAK13,9/18/2011
40,Total,0.17,0.06,18.95,21,GAK13,9/18/2011
50,Total,0.13,0.08,18.95,21,GAK13,9/18/2011
0,<20 µm,1.23,0.28,26.03,23,GAK12,9/18/2011
10,<20 µm,1.11,0.24,26.03,23,GAK12,9/18/2011
20,<20 µm,0.5,0.16,26.03,23,GAK12,9/18/2011
30,<20 µm,0.23,0.08,26.03,23,GAK12,9/18/2011
40,<20 µm,0.13,0.06,26.03,23,GAK12,9/18/2011
50,<20 µm,0.06,0.04,26.03,23,GAK12,9/18/2011
0,>20 µm,0.13,0.06,2.93,23,GAK12,9/18/2011
10,>20 µm,0.1,0.09,2.93,23,GAK12,9/18/2011
20,>20 µm,0.07,0.05,2.93,23,GAK12,9/18/2011
30,>20 µm,0.04,0.02,2.93,23,GAK12,9/18/2011
40,>20 µm,0.02,0.01,2.93,23,GAK12,9/18/2011
50,>20 µm,0.01,0.02,2.93,23,GAK12,9/18/2011
0,Total,1.36,0.34,28.96,23,GAK12,9/18/2011
10,Total,1.2,0.33,28.96,23,GAK12,9/18/2011
20,Total,0.57,0.21,28.96,23,GAK12,9/18/2011
30,Total,0.27,0.1,28.96,23,GAK12,9/18/2011
40,Total,0.15,0.07,28.96,23,GAK12,9/18/2011
50,Total,0.07,0.05,28.96,23,GAK12,9/18/2011
0,<20 µm,1.14,0.42,24.01,24,GAK11,9/18/2011
10,<20 µm,1.19,0.64,24.01,24,GAK11,9/18/2011
20,<20 µm,0.58,0.25,24.01,24,GAK11,9/18/2011
30,<20 µm,0.23,0.11,24.01,24,GAK11,9/18/2011
40,<20 µm,0.15,0.09,24.01,24,GAK11,9/18/2011
50,<20 µm,0.05,0.05,24.01,24,GAK11,9/18/2011
0,>20 µm,ns,ns,5.35,24,GAK11,9/18/2011
10,>20 µm,ns,ns,5.35,24,GAK11,9/18/2011
20,>20 µm,0.13,0.07,5.35,24,GAK11,9/18/2011
30,>20 µm,0.04,0.03,5.35,24,GAK11,9/18/2011
40,>20 µm,0.02,0.04,5.35,24,GAK11,9/18/2011
50,>20 µm,0.01,0.03,5.35,24,GAK11,9/18/2011
0,Total,1.14,0.42,29.36,24,GAK11,9/18/2011
10,Total,1.19,0.64,29.36,24,GAK11,9/18/2011
20,Total,0.71,0.32,29.36,24,GAK11,9/18/2011
30,Total,0.27,0.14,29.36,24,GAK11,9/18/2011
40,Total,0.17,0.13,29.36,24,GAK11,9/18/2011
50,Total,0.06,0.08,29.36,24,GAK11,9/18/2011
0,<20 µm,1.42,0.32,30.61,26,GAK8,9/18/2011
10,<20 µm,1.23,0.28,30.61,26,GAK8,9/18/2011
20,<20 µm,0.65,0.22,30.61,26,GAK8,9/18/2011
30,<20 µm,0.29,0.13,30.61,26,GAK8,9/18/2011
40,<20 µm,0.15,0.07,30.61,26,GAK8,9/18/2011
50,<20 µm,0.04,0.04,30.61,26,GAK8,9/18/2011
0,>20 µm,0.17,0.04,4.07,26,GAK8,9/18/2011
10,>20 µm,0.19,0.07,4.07,26,GAK8,9/18/2011
20,>20 µm,0.08,0.07,4.07,26,GAK8,9/18/2011
30,>20 µm,0.03,0.05,4.07,26,GAK8,9/18/2011
40,>20 µm,0.02,0.04,4.07,26,GAK8,9/18/2011
50,>20 µm,0,0.02,4.07,26,GAK8,9/18/2011
0,Total,1.59,0.36,34.68,26,GAK8,9/18/2011
10,Total,1.42,0.35,34.68,26,GAK8,9/18/2011
20,Total,0.74,0.29,34.68,26,GAK8,9/18/2011
30,Total,0.32,0.18,34.68,26,GAK8,9/18/2011
40,Total,0.17,0.11,34.68,26,GAK8,9/18/2011
50,Total,0.05,0.06,34.68,26,GAK8,9/18/2011
