TXS13,,,,,,
Pigment list for file merging,,,,,,
,,,,,,
CTD_Cast,Station_Name,Date,Niskin,Depth_m,Size_Fraction,Chl-a_ug/L
3,HX181,4/27/2013,12,0,<20,0.65
3,HX181,4/27/2013,11,10,<20,0.65
3,HX181,4/27/2013,10,20,<20,0.57
3,HX181,4/27/2013,9,30,<20,0.57
3,HX181,4/27/2013,8,40,<20,0.64
3,HX181,4/27/2013,7,50,<20,0.49
3,HX181,4/27/2013,12,0,>20,1.97
3,HX181,4/27/2013,11,10,>20,1.99
3,HX181,4/27/2013,10,20,>20,1.78
3,HX181,4/27/2013,9,30,>20,1.63
3,HX181,4/27/2013,8,40,>20,1.53
3,HX181,4/27/2013,7,50,>20,1.12
3,HX181,4/27/2013,12,0,Total,2.62
3,HX181,4/27/2013,11,10,Total,2.64
3,HX181,4/27/2013,10,20,Total,2.35
3,HX181,4/27/2013,9,30,Total,2.2
3,HX181,4/27/2013,8,40,Total,2.17
3,HX181,4/27/2013,7,50,Total,1.61
3,HX181,4/27/2013,12,0,Total_Phaeo (µg/L),0.58
3,HX181,4/27/2013,11,10,Total_Phaeo (µg/L),0.62
3,HX181,4/27/2013,10,20,Total_Phaeo (µg/L),1.01
3,HX181,4/27/2013,9,30,Total_Phaeo (µg/L),0.98
3,HX181,4/27/2013,8,40,Total_Phaeo (µg/L),0.96
3,HX181,4/27/2013,7,50,Total_Phaeo (µg/L),0.76
5,HT181,4/27/2013,10,0,<20,0.57
5,HT181,4/27/2013,9,10,<20,0.57
5,HT181,4/27/2013,8,20,<20,0.6
5,HT181,4/27/2013,7,30,<20,0.6
5,HT181,4/27/2013,6,40,<20,0.83
5,HT181,4/27/2013,10,0,>20,5.82
5,HT181,4/27/2013,9,10,>20,5.99
5,HT181,4/27/2013,8,20,>20,5.24
5,HT181,4/27/2013,7,30,>20,6.62
5,HT181,4/27/2013,6,40,>20,5.15
5,HT181,4/27/2013,10,0,Total,6.39
5,HT181,4/27/2013,9,10,Total,6.56
5,HT181,4/27/2013,8,20,Total,5.84
5,HT181,4/27/2013,7,30,Total,7.22
5,HT181,4/27/2013,6,40,Total,5.98
5,HT181,4/27/2013,10,0,Total_Phaeo (µg/L),1.09
5,HT181,4/27/2013,9,10,Total_Phaeo (µg/L),1.62
5,HT181,4/27/2013,8,20,Total_Phaeo (µg/L),2.07
5,HT181,4/27/2013,7,30,Total_Phaeo (µg/L),1.72
5,HT181,4/27/2013,6,40,Total_Phaeo (µg/L),2.28
6,HP181,4/27/2013,11,0,<20,0.59
6,HP181,4/27/2013,10,10,<20,0.64
6,HP181,4/27/2013,9,20,<20,0.61
6,HP181,4/27/2013,8,30,<20,0.65
6,HP181,4/27/2013,7,40,<20,0.25
6,HP181,4/27/2013,6,50,<20,0.17
6,HP181,4/27/2013,11,0,>20,2.89
6,HP181,4/27/2013,10,10,>20,4.06
6,HP181,4/27/2013,9,20,>20,5.49
6,HP181,4/27/2013,8,30,>20,5.07
6,HP181,4/27/2013,7,40,>20,1.74
6,HP181,4/27/2013,6,50,>20,0.35
6,HP181,4/27/2013,11,0,Total,3.48
6,HP181,4/27/2013,10,10,Total,4.71
6,HP181,4/27/2013,9,20,Total,6.1
6,HP181,4/27/2013,8,30,Total,5.72
6,HP181,4/27/2013,7,40,Total,1.99
6,HP181,4/27/2013,6,50,Total,0.52
6,HP181,4/27/2013,11,0,Total_Phaeo (µg/L),1.39
6,HP181,4/27/2013,10,10,Total_Phaeo (µg/L),1.11
6,HP181,4/27/2013,9,20,Total_Phaeo (µg/L),1.54
6,HP181,4/27/2013,8,30,Total_Phaeo (µg/L),1.84
6,HP181,4/27/2013,7,40,Total_Phaeo (µg/L),0.79
6,HP181,4/27/2013,6,50,Total_Phaeo (µg/L),0.49
8,HL181,4/27/2013,9,0,<20,0.75
8,HL181,4/27/2013,8,10,<20,0.6
8,HL181,4/27/2013,7,20,<20,0.59
8,HL181,4/27/2013,6,30,<20,0.38
8,HL181,4/27/2013,5,40,<20,0.36
8,HL181,4/27/2013,4,50,<20,0.5
8,HL181,4/27/2013,9,0,>20,8.26
8,HL181,4/27/2013,8,10,>20,7.67
8,HL181,4/27/2013,7,20,>20,9.47
8,HL181,4/27/2013,6,30,>20,8.09
8,HL181,4/27/2013,5,40,>20,1.85
8,HL181,4/27/2013,4,50,>20,5.53
8,HL181,4/27/2013,9,0,Total,9.01
8,HL181,4/27/2013,8,10,Total,8.27
8,HL181,4/27/2013,7,20,Total,10.06
8,HL181,4/27/2013,6,30,Total,8.46
8,HL181,4/27/2013,5,40,Total,2.21
8,HL181,4/27/2013,4,50,Total,6.03
8,HL181,4/27/2013,9,0,Total_Phaeo (µg/L),0.52
8,HL181,4/27/2013,8,10,Total_Phaeo (µg/L),1.32
8,HL181,4/27/2013,7,20,Total_Phaeo (µg/L),1.07
8,HL181,4/27/2013,6,30,Total_Phaeo (µg/L),0.66
8,HL181,4/27/2013,5,40,Total_Phaeo (µg/L),0.76
8,HL181,4/27/2013,4,50,Total_Phaeo (µg/L),1.78
9,HL185,4/27/2013,7,10,<20,0.33
9,HL185,4/27/2013,5,30,<20,0.24
9,HL185,4/27/2013,4,40,<20,0.32
9,HL185,4/27/2013,7,10,>20,5.03
9,HL185,4/27/2013,5,30,>20,4.82
9,HL185,4/27/2013,4,40,>20,3.6
9,HL185,4/27/2013,7,10,Total,5.36
9,HL185,4/27/2013,5,30,Total,5.06
9,HL185,4/27/2013,4,40,Total,3.92
9,HL185,4/27/2013,7,10,Total_Phaeo (µg/L),1.15
9,HL185,4/27/2013,5,30,Total_Phaeo (µg/L),1.01
9,HL185,4/27/2013,4,40,Total_Phaeo (µg/L),3.08
10,HP185,4/28/2013,8,0,<20,0.31
10,HP185,4/28/2013,7,10,<20,0.32
10,HP185,4/28/2013,6,20,<20,0.5
10,HP185,4/28/2013,5,30,<20,0.27
10,HP185,4/28/2013,4,40,<20,0.43
10,HP185,4/28/2013,3,50,<20,0.35
10,HP185,4/28/2013,8,0,>20,1.8
10,HP185,4/28/2013,7,10,>20,1.72
10,HP185,4/28/2013,6,20,>20,1.29
10,HP185,4/28/2013,5,30,>20,1.51
10,HP185,4/28/2013,4,40,>20,1.6
10,HP185,4/28/2013,3,50,>20,1.48
10,HP185,4/28/2013,8,0,Total,2.11
10,HP185,4/28/2013,7,10,Total,2.04
10,HP185,4/28/2013,6,20,Total,1.79
10,HP185,4/28/2013,5,30,Total,1.78
10,HP185,4/28/2013,4,40,Total,2.03
10,HP185,4/28/2013,3,50,Total,1.84
10,HP185,4/28/2013,8,0,Total_Phaeo (µg/L),0.29
10,HP185,4/28/2013,7,10,Total_Phaeo (µg/L),0.32
10,HP185,4/28/2013,6,20,Total_Phaeo (µg/L),0.32
10,HP185,4/28/2013,5,30,Total_Phaeo (µg/L),0.27
10,HP185,4/28/2013,4,40,Total_Phaeo (µg/L),0.44
10,HP185,4/28/2013,3,50,Total_Phaeo (µg/L),0.48
11,HT185,4/28/2013,12,0,<20,0.63
11,HT185,4/28/2013,10,20,<20,0.76
11,HT185,4/28/2013,9,30,<20,0.68
11,HT185,4/28/2013,8,40,<20,0.64
11,HT185,4/28/2013,7,50,<20,0.45
11,HT185,4/28/2013,12,0,>20,6.29
11,HT185,4/28/2013,10,20,>20,6.58
11,HT185,4/28/2013,9,30,>20,6.62
11,HT185,4/28/2013,8,40,>20,5.03
11,HT185,4/28/2013,7,50,>20,2.47
11,HT185,4/28/2013,12,0,Total,6.92
11,HT185,4/28/2013,10,20,Total,7.34
11,HT185,4/28/2013,9,30,Total,7.3
11,HT185,4/28/2013,8,40,Total,5.67
11,HT185,4/28/2013,7,50,Total,2.92
11,HT185,4/28/2013,12,0,Total_Phaeo (µg/L),1.48
11,HT185,4/28/2013,10,20,Total_Phaeo (µg/L),0.97
11,HT185,4/28/2013,9,30,Total_Phaeo (µg/L),2.21
11,HT185,4/28/2013,8,40,Total_Phaeo (µg/L),2.16
11,HT185,4/28/2013,7,50,Total_Phaeo (µg/L),0.77
13,HX185,4/28/2013,12,0,<20,0.57
13,HX185,4/28/2013,11,10,<20,0.69
13,HX185,4/28/2013,10,20,<20,0.56
13,HX185,4/28/2013,9,30,<20,0.63
13,HX185,4/28/2013,8,40,<20,0.53
13,HX185,4/28/2013,7,50,<20,0.32
13,HX185,4/28/2013,12,0,>20,1.32
13,HX185,4/28/2013,11,10,>20,1.06
13,HX185,4/28/2013,10,20,>20,1.3
13,HX185,4/28/2013,9,30,>20,1.26
13,HX185,4/28/2013,8,40,>20,1.19
13,HX185,4/28/2013,7,50,>20,0.21
13,HX185,4/28/2013,12,0,Total,1.89
13,HX185,4/28/2013,11,10,Total,1.76
13,HX185,4/28/2013,10,20,Total,1.86
13,HX185,4/28/2013,9,30,Total,1.89
13,HX185,4/28/2013,8,40,Total,1.72
13,HX185,4/28/2013,7,50,Total,0.52
13,HX185,4/28/2013,12,0,Total_Phaeo (µg/L),0.54
13,HX185,4/28/2013,11,10,Total_Phaeo (µg/L),0.74
13,HX185,4/28/2013,10,20,Total_Phaeo (µg/L),0.67
13,HX185,4/28/2013,9,30,Total_Phaeo (µg/L),0.97
13,HX185,4/28/2013,8,40,Total_Phaeo (µg/L),0.78
13,HX185,4/28/2013,7,50,Total_Phaeo (µg/L),0.46
14,HX189,4/28/2013,12,0,<20,0.44
14,HX189,4/28/2013,11,10,<20,0.49
14,HX189,4/28/2013,10,20,<20,0.45
14,HX189,4/28/2013,9,30,<20,0.42
14,HX189,4/28/2013,8,40,<20,0.5
14,HX189,4/28/2013,7,50,<20,0.39
14,HX189,4/28/2013,12,0,>20,7.88
14,HX189,4/28/2013,11,10,>20,7.84
14,HX189,4/28/2013,10,20,>20,8.13
14,HX189,4/28/2013,9,30,>20,7.33
14,HX189,4/28/2013,8,40,>20,6.87
14,HX189,4/28/2013,7,50,>20,4.06
14,HX189,4/28/2013,12,0,Total,8.32
14,HX189,4/28/2013,11,10,Total,8.33
14,HX189,4/28/2013,10,20,Total,8.58
14,HX189,4/28/2013,9,30,Total,7.76
14,HX189,4/28/2013,8,40,Total,7.38
14,HX189,4/28/2013,7,50,Total,4.46
14,HX189,4/28/2013,12,0,Total_Phaeo (µg/L),2.19
14,HX189,4/28/2013,11,10,Total_Phaeo (µg/L),2.48
14,HX189,4/28/2013,10,20,Total_Phaeo (µg/L),2.35
14,HX189,4/28/2013,9,30,Total_Phaeo (µg/L),2.6
14,HX189,4/28/2013,8,40,Total_Phaeo (µg/L),2.86
14,HX189,4/28/2013,7,50,Total_Phaeo (µg/L),1.18
15,HT189,4/28/2013,12,0,<20,0.56
15,HT189,4/28/2013,10,20,<20,0.6
15,HT189,4/28/2013,9,30,<20,0.6
15,HT189,4/28/2013,8,40,<20,0.57
15,HT189,4/28/2013,7,50,<20,0.65
15,HT189,4/28/2013,12,0,>20,4.19
15,HT189,4/28/2013,10,20,>20,4.32
15,HT189,4/28/2013,9,30,>20,4.19
15,HT189,4/28/2013,8,40,>20,4.44
15,HT189,4/28/2013,7,50,>20,3.86
15,HT189,4/28/2013,12,0,Total,4.75
15,HT189,4/28/2013,10,20,Total,4.91
15,HT189,4/28/2013,9,30,Total,4.79
15,HT189,4/28/2013,8,40,Total,5.01
15,HT189,4/28/2013,7,50,Total,4.5
15,HT189,4/28/2013,12,0,Total_Phaeo (µg/L),0.85
15,HT189,4/28/2013,10,20,Total_Phaeo (µg/L),1.22
15,HT189,4/28/2013,9,30,Total_Phaeo (µg/L),1.38
15,HT189,4/28/2013,8,40,Total_Phaeo (µg/L),1.25
15,HT189,4/28/2013,7,50,Total_Phaeo (µg/L),1.78
16,HP189,4/29/2013,9,0,<20,0.62
16,HP189,4/29/2013,8,10,<20,0.31
16,HP189,4/29/2013,7,20,<20,0.41
16,HP189,4/29/2013,6,30,<20,0.39
16,HP189,4/29/2013,5,40,<20,0.69
16,HP189,4/29/2013,4,50,<20,0.64
16,HP189,4/29/2013,9,0,>20,3.6
16,HP189,4/29/2013,8,10,>20,4.19
16,HP189,4/29/2013,7,20,>20,3.44
16,HP189,4/29/2013,6,30,>20,4.32
16,HP189,4/29/2013,5,40,>20,3.6
16,HP189,4/29/2013,4,50,>20,3.81
16,HP189,4/29/2013,9,0,Total,4.22
16,HP189,4/29/2013,8,10,Total,4.5
16,HP189,4/29/2013,7,20,Total,3.86
16,HP189,4/29/2013,6,30,Total,4.7
16,HP189,4/29/2013,5,40,Total,4.3
16,HP189,4/29/2013,4,50,Total,4.45
16,HP189,4/29/2013,9,0,Total_Phaeo (µg/L),1.05
16,HP189,4/29/2013,8,10,Total_Phaeo (µg/L),1.17
16,HP189,4/29/2013,7,20,Total_Phaeo (µg/L),0.73
16,HP189,4/29/2013,6,30,Total_Phaeo (µg/L),1.1
16,HP189,4/29/2013,5,40,Total_Phaeo (µg/L),1.19
16,HP189,4/29/2013,4,50,Total_Phaeo (µg/L),0.7
17,HL189,4/29/2013,8,0,<20,0.57
17,HL189,4/29/2013,7,10,<20,0.46
17,HL189,4/29/2013,6,20,<20,0.57
17,HL189,4/29/2013,5,30,<20,0.3
17,HL189,4/29/2013,4,40,<20,0.39
17,HL189,4/29/2013,8,0,>20,3.98
17,HL189,4/29/2013,7,10,>20,2.96
17,HL189,4/29/2013,6,20,>20,3.06
17,HL189,4/29/2013,5,30,>20,3.08
17,HL189,4/29/2013,4,40,>20,3.11
17,HL189,4/29/2013,8,0,Total,4.55
17,HL189,4/29/2013,7,10,Total,3.42
17,HL189,4/29/2013,6,20,Total,3.63
17,HL189,4/29/2013,5,30,Total,3.38
17,HL189,4/29/2013,4,40,Total,3.49
17,HL189,4/29/2013,8,0,Total_Phaeo (µg/L),0.39
17,HL189,4/29/2013,7,10,Total_Phaeo (µg/L),0.8
17,HL189,4/29/2013,6,20,Total_Phaeo (µg/L),0.73
17,HL189,4/29/2013,5,30,Total_Phaeo (µg/L),1.24
17,HL189,4/29/2013,4,40,Total_Phaeo (µg/L),0.87
18,HH193,4/29/2013,11,0,<20,0.52
18,HH193,4/29/2013,10,10,<20,0.56
18,HH193,4/29/2013,8,30,<20,0.41
18,HH193,4/29/2013,7,40,<20,0.65
18,HH193,4/29/2013,6,50,<20,0.26
18,HH193,4/29/2013,11,0,>20,5.24
18,HH193,4/29/2013,10,10,>20,5.49
18,HH193,4/29/2013,8,30,>20,4.99
18,HH193,4/29/2013,7,40,>20,4.36
18,HH193,4/29/2013,6,50,>20,3.38
18,HH193,4/29/2013,11,0,Total,5.75
18,HH193,4/29/2013,10,10,Total,6.05
18,HH193,4/29/2013,8,30,Total,5.4
18,HH193,4/29/2013,7,40,Total,5.01
18,HH193,4/29/2013,6,50,Total,3.64
18,HH193,4/29/2013,11,0,Total_Phaeo (µg/L),1.01
18,HH193,4/29/2013,10,10,Total_Phaeo (µg/L),0.91
18,HH193,4/29/2013,8,30,Total_Phaeo (µg/L),1.21
18,HH193,4/29/2013,7,40,Total_Phaeo (µg/L),0.78
18,HH193,4/29/2013,6,50,Total_Phaeo (µg/L),0.85
19,HL193,4/29/2013,7,0,<20,0.39
19,HL193,4/29/2013,6,10,<20,0.43
19,HL193,4/29/2013,5,20,<20,0.55
19,HL193,4/29/2013,4,30,<20,0.44
19,HL193,4/29/2013,2,45,<20,0.45
19,HL193,4/29/2013,7,0,>20,2.7
19,HL193,4/29/2013,6,10,>20,2.59
19,HL193,4/29/2013,5,20,>20,2.01
19,HL193,4/29/2013,4,30,>20,3.39
19,HL193,4/29/2013,2,45,>20,3.25
19,HL193,4/29/2013,7,0,Total,3.08
19,HL193,4/29/2013,6,10,Total,3.01
19,HL193,4/29/2013,5,20,Total,2.56
19,HL193,4/29/2013,4,30,Total,3.83
19,HL193,4/29/2013,2,45,Total,3.7
19,HL193,4/29/2013,7,0,Total_Phaeo (µg/L),0.97
19,HL193,4/29/2013,6,10,Total_Phaeo (µg/L),1.71
19,HL193,4/29/2013,5,20,Total_Phaeo (µg/L),2.48
19,HL193,4/29/2013,4,30,Total_Phaeo (µg/L),0.66
19,HL193,4/29/2013,2,45,Total_Phaeo (µg/L),0.51
20,HP193,4/29/2013,10,0,<20,0.55
20,HP193,4/29/2013,8,10,<20,0.44
20,HP193,4/29/2013,7,20,<20,0.45
20,HP193,4/29/2013,6,30,<20,0.36
20,HP193,4/29/2013,5,40,<20,0.32
20,HP193,4/29/2013,4,50,<20,0.39
20,HP193,4/29/2013,10,0,>20,3.02
20,HP193,4/29/2013,8,10,>20,2.17
20,HP193,4/29/2013,7,20,>20,2.85
20,HP193,4/29/2013,6,30,>20,2.62
20,HP193,4/29/2013,5,40,>20,2.82
20,HP193,4/29/2013,4,50,>20,2.39
20,HP193,4/29/2013,10,0,Total,3.57
20,HP193,4/29/2013,8,10,Total,2.61
20,HP193,4/29/2013,7,20,Total,3.3
20,HP193,4/29/2013,6,30,Total,2.98
20,HP193,4/29/2013,5,40,Total,3.15
20,HP193,4/29/2013,4,50,Total,2.79
20,HP193,4/29/2013,10,0,Total_Phaeo (µg/L),0.18
20,HP193,4/29/2013,8,10,Total_Phaeo (µg/L),1.38
20,HP193,4/29/2013,7,20,Total_Phaeo (µg/L),0.36
20,HP193,4/29/2013,6,30,Total_Phaeo (µg/L),0.47
20,HP193,4/29/2013,5,40,Total_Phaeo (µg/L),0.8
20,HP193,4/29/2013,4,50,Total_Phaeo (µg/L),0.88
21,HT193,4/30/2013,11,0,<20,1.29
21,HT193,4/30/2013,10,10,<20,0.91
21,HT193,4/30/2013,8,20,<20,1.04
21,HT193,4/30/2013,7,30,<20,0.98
21,HT193,4/30/2013,6,40,<20,0.92
21,HT193,4/30/2013,5,50,<20,0.94
21,HT193,4/30/2013,11,0,>20,4.82
21,HT193,4/30/2013,10,10,>20,5.15
21,HT193,4/30/2013,8,20,>20,5.03
21,HT193,4/30/2013,7,30,>20,5.45
21,HT193,4/30/2013,6,40,>20,4.69
21,HT193,4/30/2013,5,50,>20,4.36
21,HT193,4/30/2013,11,0,Total,6.11
21,HT193,4/30/2013,10,10,Total,6.07
21,HT193,4/30/2013,8,20,Total,6.07
21,HT193,4/30/2013,7,30,Total,6.43
21,HT193,4/30/2013,6,40,Total,5.62
21,HT193,4/30/2013,5,50,Total,5.3
21,HT193,4/30/2013,11,0,Total_Phaeo (µg/L),0.81
21,HT193,4/30/2013,10,10,Total_Phaeo (µg/L),0.82
21,HT193,4/30/2013,8,20,Total_Phaeo (µg/L),0.63
21,HT193,4/30/2013,7,30,Total_Phaeo (µg/L),1.02
21,HT193,4/30/2013,6,40,Total_Phaeo (µg/L),2.32
21,HT193,4/30/2013,5,50,Total_Phaeo (µg/L),1.27
22,HX193,4/30/2013,12,0,<20,0.96
22,HX193,4/30/2013,11,10,<20,0.6
22,HX193,4/30/2013,10,20,<20,0.61
22,HX193,4/30/2013,8,40,<20,0.72
22,HX193,4/30/2013,7,50,<20,0.54
22,HX193,4/30/2013,12,0,>20,5.66
22,HX193,4/30/2013,11,10,>20,6.24
22,HX193,4/30/2013,10,20,>20,5.87
22,HX193,4/30/2013,8,40,>20,5.78
22,HX193,4/30/2013,7,50,>20,3.56
22,HX193,4/30/2013,12,0,Total,6.62
22,HX193,4/30/2013,11,10,Total,6.84
22,HX193,4/30/2013,10,20,Total,6.47
22,HX193,4/30/2013,8,40,Total,6.51
22,HX193,4/30/2013,7,50,Total,4.1
22,HX193,4/30/2013,12,0,Total_Phaeo (µg/L),0.88
22,HX193,4/30/2013,11,10,Total_Phaeo (µg/L),0.78
22,HX193,4/30/2013,10,20,Total_Phaeo (µg/L),1.09
22,HX193,4/30/2013,8,40,Total_Phaeo (µg/L),0.95
22,HX193,4/30/2013,7,50,Total_Phaeo (µg/L),0.73
23,HX197,4/30/2013,12,0,<20,0.51
23,HX197,4/30/2013,11,10,<20,0.53
23,HX197,4/30/2013,10,20,<20,0.34
23,HX197,4/30/2013,8,40,<20,0.27
23,HX197,4/30/2013,7,50,<20,0.21
23,HX197,4/30/2013,12,0,>20,5.15
23,HX197,4/30/2013,11,10,>20,4.44
23,HX197,4/30/2013,10,20,>20,2.32
23,HX197,4/30/2013,8,40,>20,1.78
23,HX197,4/30/2013,7,50,>20,0.41
23,HX197,4/30/2013,12,0,Total,5.66
23,HX197,4/30/2013,11,10,Total,4.97
23,HX197,4/30/2013,10,20,Total,2.66
23,HX197,4/30/2013,8,40,Total,2.05
23,HX197,4/30/2013,7,50,Total,0.62
23,HX197,4/30/2013,12,0,Total_Phaeo (µg/L),1.17
23,HX197,4/30/2013,11,10,Total_Phaeo (µg/L),2.07
23,HX197,4/30/2013,10,20,Total_Phaeo (µg/L),1.27
23,HX197,4/30/2013,8,40,Total_Phaeo (µg/L),1.23
23,HX197,4/30/2013,7,50,Total_Phaeo (µg/L),0.59
25,HT197,4/30/2013,10,0,<20,0.31
25,HT197,4/30/2013,9,10,<20,0.32
25,HT197,4/30/2013,7,30,<20,0.35
25,HT197,4/30/2013,6,40,<20,0.34
25,HT197,4/30/2013,5,50,<20,0.34
25,HT197,4/30/2013,10,0,>20,1.84
25,HT197,4/30/2013,9,10,>20,2.46
25,HT197,4/30/2013,7,30,>20,2.85
25,HT197,4/30/2013,6,40,>20,2.8
25,HT197,4/30/2013,5,50,>20,2.67
25,HT197,4/30/2013,10,0,Total,2.16
25,HT197,4/30/2013,9,10,Total,2.78
25,HT197,4/30/2013,7,30,Total,3.2
25,HT197,4/30/2013,6,40,Total,3.14
25,HT197,4/30/2013,5,50,Total,3.01
25,HT197,4/30/2013,10,0,Total_Phaeo (µg/L),2.03
25,HT197,4/30/2013,9,10,Total_Phaeo (µg/L),1.72
25,HT197,4/30/2013,7,30,Total_Phaeo (µg/L),1.68
25,HT197,4/30/2013,6,40,Total_Phaeo (µg/L),1.39
25,HT197,4/30/2013,5,50,Total_Phaeo (µg/L),1.34
27,HP197,4/30/2013,9,0,<20,0.32
27,HP197,4/30/2013,8,10,<20,0.32
27,HP197,4/30/2013,7,20,<20,0.33
27,HP197,4/30/2013,6,30,<20,0.32
27,HP197,4/30/2013,5,40,<20,0.36
27,HP197,4/30/2013,4,50,<20,0.31
27,HP197,4/30/2013,9,0,>20,2.82
27,HP197,4/30/2013,8,10,>20,2.52
27,HP197,4/30/2013,7,20,>20,2.18
27,HP197,4/30/2013,6,30,>20,2.65
27,HP197,4/30/2013,5,40,>20,2.74
27,HP197,4/30/2013,4,50,>20,3.24
27,HP197,4/30/2013,9,0,Total,3.14
27,HP197,4/30/2013,8,10,Total,2.84
27,HP197,4/30/2013,7,20,Total,2.51
27,HP197,4/30/2013,6,30,Total,2.97
27,HP197,4/30/2013,5,40,Total,3.11
27,HP197,4/30/2013,4,50,Total,3.55
